First Name, Last Name, UO ID, Email, Phoetic Spelling, Reveal Code, LF, times_called, total_called,flag_ct
Jacob,Alexander,929478284,jalex@uoregon.edu,J-a-cub,[],0,0,4,9
Cameron,Armas,951852942,carmas@uoregon.edu,Cam-er-on,[],0,0,8,9
Cameron,Barnett,951732145,cbarnett@uoregon.edu,Kam-ren,[],0,0,4,8
Haylee,Bart,951765133,hbart@uoregon.edu,Hay-lee,[],0,1,2,9
Nick,Colver,951729384,nickc@uoregon.edu,Nik,[],0,0,5,9
Maya,Divine,962310421,mdivine@uoregon.edu,My-uh,[],0,0,5,9
Tim,Green,967829348,timg@uoregon.edu,Tim,[],0,1,7,10
Jean,Grey,962517334,jgrey@uoregon.edu,Jeen,[],0,0,6,9
Cool,Guy,951696969,coolz@uoregon.edu,Ice-Cool,[],0,0,6,9
David,Han,951231415,dhan@uoregon.edu,Day-vid,[],0,0,3,9
Percy,Jackson,945221733,pjackson@uoregon.edu,Per-cee,[],0,5,6,10
Sean,Jones,950123845,sjones@uoregon.edu,Sh-awn,[],0,1,4,10
Jim,Lake,945626452,jlake@uoregon.edu,Jim,[],0,0,3,8
Tessa,Lee,938297921,tlee@uoregon.edu,Tes-uh,[],0,0,5,9
Draco,Malfoy,923457564,dmalfoy@uoregon.edu,Dr-aco,[],0,0,6,9
Macho,Man,952521512,mman@uoregon.edu,ma-cho,[],0,0,6,9
Stan,Marsh,951624534,smarsh@uoregon.edu,St-an,[],0,1,5,10
Kassandra,Morando,951524985,kmorando@uoregon.edu,Kah-san-dra,[],0,0,3,9
Peter,Parker,956183956,peterp@uoregon.edu,P-eter,[],0,0,2,9
Sally,Patterson,951673647,salpat@uoregon.edu,sal-lee,[],0,1,6,10
Harry,Potter,951624363,hpotter@uoregon.edu,H-a-ree,[],0,0,6,9
Alice,Scott,951678903,ascott@uoregon.edu,Al-ice,[],0,1,7,10
Luke,Skywalker,936256184,lukes@uoregon.edu,Luke,[],0,0,2,9
Kelly,Smith,951905867,smithk@uoregon.edu,Kel-e,[],0,0,6,9
Patrick,Thomasma,951623133,pthomasm@uoregon.edu,Pat-trick,[],0,0,5,9
Dom,Toretto,945578637,dtoretto@uoregon.edu,Dom,[],0,0,6,9
Zoey,Turner,950823905,zoeyt@uoregon.edu,Z-oh-e,[],0,0,4,9
Brianna,Vago,951827523,bvago@uoregon.edu,Bree-anna,[],0,0,4,9
Rianna,Vee,941948321,riannav@uoregon.edu,Ri-an-a,[],0,0,4,9
Eric,Williams,951803057,ewilliams@uoregon.edu,Air-ik,[],0,0,6,9
Geli,Zhang,951849259,ghang2@uoregon.edu,Ger-e,[],0,5,4,10
